•	City: guangzhou
•		•	[food] Taotaoju | tags: cantonese, dim_sum, traditional, breakfast, casual | excellence: 0.90
•		•	[food] Liufuji | tags: cantonese, roast_meat, classic, lunch, local | excellence: 0.85
•		•	[food] Bingsheng Seafood Restaurant | tags: seafood, chinese, fresh, dinner, group | excellence: 0.87
•		•	[food] Bingsheng | tags: modern_cantonese, seafood, upscale, fine_dining, dinner | excellence: 0.88
•		•	[food] Tiger Prawn Vietnamese Restaurant | tags: vietnamese, seafood, spicy, casual, fusion | excellence: 0.82
•		•	[food] Mercato | tags: italian, western, pizza, wine, social | excellence: 0.84
•		•	[food] Bosphorus Turkish Restaurant | tags: turkish, mediterranean, grill, dinner, international | excellence: 0.80
•		•	[food] Morgan’s | tags: brunch, western, casual, coffee, friends | excellence: 0.81
•		•	[food] Xinji Seafood Restaurant | tags: seafood, local, family, dinner, classic | excellence: 0.83
•		•	[food] Yayuan Restaurant | tags: cantonese, local, lunch, everyday, affordable | excellence: 0.79
•		•	[food] Jinyuexuan Vietnamese Cuisine | tags: southeast_asian, vietnamese, casual, lunch, flavourful | excellence: 0.80
•		•	[food] Guangzhou Old Town Street Eats | tags: street_food, snacks, cantonese, casual, budget | excellence: 0.78
•		•	[food] Traditional Claypot Rice Spot | tags: claypot, local, dinner, classic, casual | excellence: 0.76
•		•	[food] Rice Noodle Roll Stall | tags: street_food, dim_sum, quick_bite, local, budget | excellence: 0.75
•		•	[food] Roast Goose Specialist | tags: roast_goose, cantonese, meat, dinner, local | excellence: 0.82
•		•	[food] Double Skin Milk Dessert Shop | tags: dessert, sweet, local, casual, snack | excellence: 0.77
•		•	[food] Shrimp Dumpling Stand | tags: dim_sum, seafood, traditional, snack, lunchtime | excellence: 0.76
•		•	[food] Congee & Side Dishes Shop | tags: congee, traditional, breakfast, budget, local | excellence: 0.74
•		•	[food] Cantonese BBQ Skewer Stall | tags: barbecue, street_food, night_market, casual, local | excellence: 0.73
•		•	[food] Cold Noodle Bar | tags: noodles, chilled, summer, budget, casual | excellence: 0.72
•		•	[food] China Town BBQ Bistro | tags: asian_fusion, dinner, casual, grill, social | excellence: 0.79
•		•	[food] Night Market Skewer Alley | tags: night_food, street_food, casual, fun, local | excellence: 0.74
•		•	[culture] Cantong tower | tags: landmark, skyline, photo_spot, modern, observation | excellence: 0.95
•		•	[culture] Guangzhou Chimelong Safari Park （Main Gate） | tags: wildlife, park, family, outdoor, adventure | excellence: 0.90
•		•	[culture] Chen Clan Ancestral Hall | tags: heritage, architecture, museum, traditional, culture | excellence: 0.92
•		•	[culture] Huacheng Square | tags: city_square, modern, landscape, public, sightseeing | excellence: 0.88
•		•	[culture] Yuexiu Park | tags: park, history, nature, local, relax | excellence: 0.87
•		•	[culture] Shangxiajiu Commercial Pedestrian Street | tags: shopping, heritage, street_culture, local, experience | excellence: 0.86
•		•	[culture] Temple of the Six Banyan Trees | tags: temple, buddhist, heritage, calm, traditional | excellence: 0.89
•		•	[culture] Guangzhou Sculpture Park | tags: park, art, outdoor, creative, family | excellence: 0.80
•		•	[culture] Baomo Garden | tags: garden, heritage, quiet, classical, design | excellence: 0.81
•		•	[culture] Guangzhou Liwanhu Park | tags: lake, park, relax, local, scenery | excellence: 0.78
•		•	[culture] The Site of Nanyue Kingdom Palace | tags: history, archaeology, museum, ancient, culture | excellence: 0.85
•		•	[culture] Pearl River Night Cruise | tags: river, night, scenic, experience, romantic | excellence: 0.88
•		•	[culture] Guangdong Museum Visit | tags: museum, modern, exhibits, culture, education | excellence: 0.82
•		•	[culture] Cantonese Opera Museum | tags: opera, performance, culture, history, art | excellence: 0.80
•		•	[culture] Guangzhou Art District | tags: contemporary_art, gallery, creative, urban, cultural | excellence: 0.79
•		•	[culture] Historic Liwan Streets | tags: heritage, alley, local_life, traditional, walking | excellence: 0.83
•		•	[culture] Sun Yat-sen Memorial Hall | tags: history, architecture, memorial, culture, educational | excellence: 0.84
•		•	[culture] Guangdong Folk Culture Museum | tags: folk, culture, history, local, exhibits | excellence: 0.81
•		•	[walk] Pearl River Riverside Walk | tags: walk, river, sunset, scenic, leisure | excellence: 0.82
•		•	[walk] Beijing Road Historic Walk | tags: walk, history, urban, shopping, daytime | excellence: 0.85
•		•	[walk] Shamian Island Stroll | tags: walk, colonial_architecture, river, calm, daytime | excellence: 0.83
•		•	[walk] Huacheng Square to Opera Loop | tags: walk, modern, skyline, day_night, urban | excellence: 0.84
•		•	[walk] Night Lights on Canton Tower | tags: walk, night, lights, skyline, photo | excellence: 0.88
•		•	[walk] Yuexiu Park Trails | tags: walk, nature, hill, exercise, daytime | excellence: 0.80
•		•	[walk] Tianhe Central District Urban Trek | tags: walk, city_life, modern, shopping, daytime | excellence: 0.81
•		•	[walk] Local Night Market Circuit | tags: walk, night_food, street, local, lively | excellence: 0.79
•		•	[walk] Liwan Old Streets Walk | tags: walk, historic, local_life, alley, cultural | excellence: 0.83
•		•	[walk] Haizhu Bridge Sunset Route | tags: walk, river, sunset, locals, relaxed | excellence: 0.78


City: chengdu
•	[food] Fu Rong Huang | tags: sichuan, traditional_chinese, spicy, dinner, classic | excellence: 0.92
•	[food] Shuyanfu | tags: sichuan, fine_dining, local_flavours, dinner, refined | excellence: 0.90
•	[food] Lixuan Chinese Restaurant | tags: sichuan, upscale, chinese_cuisine, elegant, dinner | excellence: 0.89
